EnvVar,ValueType,Description,DefaultValue,Pattern,Notes
WINE_SYNC_USE_FUTEX_WAITV,switch,Enables futex_waitv kernel syscall for synchronization — reduces CPU overhead,,,Source: ProtonPlus
PULSE_LATENCY_MSEC,int,Sets PulseAudio latency target in milliseconds,60,1,500,^\d{1,3}$,Source: ProtonPlus; lower = less latency but more risk of audio glitches
WINEALSA_CHANNELS,int,Sets Wine ALSA output channel count,2,1,8,^[1-8]$,Source: ProtonPlus; requires Proton 11-1 or newer
WINEALSA_SPACIAL,switch,Enables Wine ALSA spatial downmix for 4/6/8 channel configurations,,,Source: ProtonPlus; requires 4+ output channels via WINEALSA_CHANNELS
PRESSURE_VESSEL_IMPORT_OPENXR_1_RUNTIMES,switch,Exposes host machine OpenXR runtime JSON files inside the Steam container,,,Source: community; needed for WiVRn/Monado/other host OpenXR runtimes
PRESSURE_VESSEL_FILESYSTEMS_RW,string,Grants read-write access to specific host paths inside the pressure-vessel container,,"^(/.+)(:.+)*$","Colon-separated absolute paths. e.g. /var/lib/flatpak/app/io.github.wivrn.wivrn"
DRI_PRIME,switch,Forces the game to run on the AMD discrete GPU on hybrid graphics systems,,,Source: ProtonPlus; set to 1 to use dGPU
AMD_ICD,string,Chooses the AMD Vulkan ICD — RADV (Mesa) or AMDVLK (AMD official),RADV,^(RADV|AMDVLK)$,Source: ProtonPlus; RADV is generally preferred for gaming
STAGING_SHARED_MEMORY,switch,Enables AMD driver shared memory staging support — improves VRAM bandwidth,,,Source: ProtonPlus; AMD only
mesa_glthread,string,Controls Mesa GL threading — improves multi-threaded OpenGL performance,true,^(true|false)$,Source: ProtonPlus; lowercase var name
MESA_SHADER_CACHE_DISABLE,switch,Controls Mesa's on-disk shader cache — set 0 to enable / 1 to disable,0,^[01]$,"Source: ProtonPlus; 0=cache enabled (default), 1=disabled"
ENABLE_LAYER_MESA_ANTI_LAG,switch,Enables Mesa Anti-Lag to reduce input latency on supported AMD setups,,,Source: ProtonPlus; AMD Mesa only
RADV_PERFTEST,string,"Enables experimental RADV features: comma-separated flags (rt,sam,nggc,gpl,ruse,emulate_rt)",,^(rt|sam|nggc|gpl|ruse|emulate_rt)(,(rt|sam|nggc|gpl|ruse|emulate_rt))*$,"Source: ProtonPlus. rt=ray tracing,sam=Resizable BAR,nggc=NGG culling,gpl=GPL shaders,ruse=userspace queue,emulate_rt=SW ray tracing"
RADV_DEBUG,string,"Enables RADV debug/workaround flags: comma-separated (nocng,noabin,nobg,nodcc,novrs,nogpl,noexecbuf2,precompile,noatc)",,^([a-z0-9]+)(,[a-z0-9]+)*$,"Source: ProtonPlus. nocng=no NGG,nodcc=no DCC,novrs=no VRS,precompile=precompile shaders,noatc=fixes APU texture issues"
ACO_DEBUG,string,"Enables AMD ACO shader compiler debug flags: comma-separated (validate,nofpgather,perfinfo,force-isel,nosched,nowave32)",,^([a-z0-9\-]+)(,[a-z0-9\-]+)*$,Source: ProtonPlus; AMD ACO compiler only
DXIL_SPIRV_CONFIG,string,Configures DXIL-SPIR-V translation behavior — e.g. RDNA3 MLFG workaround,,^[a-z0-9_]+(=[a-z0-9_]+)?(,[a-z0-9_]+(=[a-z0-9_]+)?)*$,"Source: ProtonPlus; e.g. wmma_rdna3_workaround for RDNA3 MLFG"
LOW_LATENCY_LAYER,switch,Enables Proton-CachyOS low-latency Vulkan layer with VK_AMD_anti_lag exposure,,,Source: ProtonPlus; requires compatible game and CachyOS build
LOW_LATENCY_LAYER_REFLEX,switch,Switches CachyOS low-latency layer from Anti-Lag to VK_NV_low_latency2 (NVIDIA Reflex),,,Source: ProtonPlus; requires LOW_LATENCY_LAYER and game Reflex support
LOW_LATENCY_LAYER_SPOOF_NVIDIA,switch,Makes the low-latency Vulkan layer report an NVIDIA GPU — last-resort Reflex workaround,,,Source: ProtonPlus; can break FSR 4 — use only when all else fails
DXVK_NVAPI_ALLOW_OTHER_DRIVERS,switch,Allows DXVK-NVAPI on non-NVIDIA drivers — least-invasive AMD Reflex compatibility preset,,,Source: ProtonPlus
DXVK_NVAPI_VKREFLEX,switch,Enables CachyOS NVIDIA Reflex Vulkan layer for native Vulkan games,,,Source: ProtonPlus; requires NVIDIA and compatible CachyOS build
DXVK_CONFIG,string,Configures DXVK behavior — e.g. dxgi.hideAmdGpu=True to hide AMD GPU,,^[a-zA-Z.]+=[A-Za-z0-9_]+$,"Source: ProtonPlus; e.g. dxgi.hideAmdGpu=True for Reflex GPU spoof"
DXVK_NVAPI,switch,Enables DXVK-NVAPI. Use PROTON_ENABLE_NVAPI instead when using Proton,,,Standalone DXVK installations
DXVK_HUD,string,Shows DXVK Vulkan overlay with GPU/frame timing stats,0,^(0|1|(fps|gpus|compiler|memory|frametimes|full)(,(fps|gpus|compiler|memory|frametimes|full))*)$,"Combine with commas: DXVK_HUD=fps,gpus,memory — useful for performance profiling"
DXVK_ASYNC,switch,Enables asynchronous shader compilation in DXVK to reduce stutter,,,Source: ProtonPlus; may cause visual artifacts during shader warmup — requires patched DXVK
DXVK_FRAME_RATE,int,Caps DXVK frame rate to specified value (frames per second — 0=uncapped),0,^\d+$,Source: ProtonPlus; overrides in-game frame limiter via Vulkan layer
DXVK_LOG_LEVEL,string,Controls DXVK logging verbosity,none,^(none|error|warn|info|debug)$,"Source: ProtonPlus. none=silent,error=critical only,debug=verbose"
DXVK_STATE_CACHE,switch,Enables DXVK pipeline state cache for faster shader reuse between sessions,,,Disable if you have persistent shader bugs after game updates
VKD3D_CONFIG,string,"Configures VKD3D-Proton behavior — comma-separated flags (shader_cache,force_host_cache,upload_hvv,no_upload_hvv,nodxr,dxr11,dxr10,gpuva,stable_power_state,...)",,^[a-z_]+(,[a-z_]+)*$,"Source: ProtonPlus. nodxr=disable RT,dxr11=enable RT,shader_cache=disk cache,upload_hvv=ReBAR staging,gpuva=GPU VA"
VKD3D_LOG_LEVEL,string,Controls VKD3D logging verbosity,,^(none|err|warn|fixme|info|trace)$,"Source: ProtonPlus. none=muted,err=critical,warn=warnings,fixme=missing features,info=general,trace=verbose"
VKD3D_SHADER_CACHE,switch,Enables VKD3D-Proton internal on-disk shader cache to reduce stuttering,,,Source: ProtonPlus
VKD3D_GPUVA,switch,Enables GPU Virtual Addressing in VKD3D-Proton — helps open-world games with D3D12 memory,,,Source: ProtonPlus
DXVK_NVAPI_VKREFLEX,switch,Enables CachyOS NVIDIA Reflex Vulkan layer for native Vulkan games,,,Source: ProtonPlus; requires NVIDIA and compatible CachyOS Proton build
SCB_AUTO_VRR,switch,ScopeBuddy: Enables automatic Variable Refresh Rate matching to game FPS,,,Source: ProtonPlus; requires ScopeBuddy wrapper
MANGOHUD,switch,Enables MangoHUD performance overlay (Vulkan env mode — see also gamemoderun wrapper),,,Source: ProtonPlus; install mangohud separately; use MANGOHUD=1
MANGOHUD_CONFIG,string,Configures MangoHUD overlay display options (comma-separated),,^[a-z_]+(=[^,]*)?(,[a-z_]+(=[^,]*)?)*$,"e.g. fps,gpu_stats,cpu_stats,ram"
ENABLE_VKBASALT,switch,Enables vkBasalt post-processing layer (sharpening/color grading) on top of VRChat,,,Install vkbasalt; configure via /etc/vkBasalt.conf or VKBASALT_CONFIG_FILE
VK_ICD_FILENAMES,string,Specifies path to specific Vulkan ICD driver JSON file (overrides default GPU),,^/.+\.json(:.+\.json)*$,"e.g. /usr/share/vulkan/icd.d/nvidia_icd.json — use to force specific GPU"
VK_DRIVER_FILES,string,Alternative to VK_ICD_FILENAMES — specifies Vulkan driver JSON files,,^/.+\.json(:.+\.json)*$,"e.g. /usr/share/vulkan/icd.d/radeon_icd.x86_64.json"
MESA_VK_WSI_PRESENT_MODE,string,Overrides Vulkan window surface present mode (vsync behavior),,^(mailbox|immediate|fifo|fifo_relaxed)$,"mailbox=low-latency,immediate=no-vsync,fifo=vsync"
